Country,KSA
ADL, 9 
Aldo, 32 
Aldo Accessories, 26 
Anotah, 9 
Banana Republic, 3 
Bershka, 27 
Beya, 3 
Blanco, 10 
Camaieu, 30 
Celio, 8 
Charles & Keith, 25 
clarks, 14 
Collezione, 9 
Cortefiel, 9 
Desigual, 9 
Dynamite, 2 
Eclipse, 7 
F&F, 21 
FG4, 40 
FG4 Womens, 24 
Flormar, 13 
Gap, 24 
Garage, 9 
I AM, 2 
Jennyfer, 22 
La Vie En Rose, 33 
Lasenza, 49 
LC Waikiki, 9 
Lipsy, 6 
Marks & Spencer, 16 
Marypaz, 3 
Massimo Dutti, 12 
Mavi, 2 
Miss Selfridge, 7 
Monsoon/Accessorize, 61 
new yorker, 15 
Ninewest, 37 
OXXO, 1 
oysho, 19 
Papaya, 9 
Primadonna, 1 
Promod, 37 
Pull & Bear, 12 
Quiz, 19 
Sgt. Major, 35 
Six, 4 
Spring, 19 
Steve Madden, 11 
Superdry, 2 
Tape A L'oeil, 26 
The Children's Place, 23 
US Polo, 16 
Uterque, 2 
Viss, 17 
Wallis, 26 
Zara, 26 
Zara Home, 4 
Ziddy, 10 
Clearance, 28 
Twaila, 41 
Country,Azerbaijan
Aldo,2
Aldo Accessories,2
Bershka,2
Charles & Keith,2
FG4,1
GAP,1
La vie En Rose,1
LASENZA,2
Massimo Dutti,1
New Look,1
Oysho,1
PrimaDonna,1
Pull & Bear,1
Quiz,1
Sgt. Major,2
Spring,1
Stradivarius,1
Tape A L'oeil,1
Zara,2
Ziddy,1
Country,Georgia
ADL,1
Aldo,2
Aldo Accessories,1
Banana Republic,1
Bershka,1
BLANCO,2
Charles & Keith,2
Clarks,2
CORTEFIEL,1
Desigual,1
F&F,2
FG4,1
GAP,1
Jennyfer,1
La vie En Rose,1
LASENZA,1
LIPSY,1
Marks & Spencer,1
Massimo Dutti,2
Miss Selfridge,1
New Look,2
Oysho,1
Promod,1
Pull & Bear,1
Quiz,1
Sgt. Major,1
Spring,1
Steve Madden,1
Stradivarius,1
Superdry,1
Topshop,1
US POLO,1
Wallis,1
Zara,2
Country,Jordan
ADL,1
Aldo,5
Aldo Accessories,1
BLANCO,3
Charles & Keith,4
CORTEFIEL,2
Dynamite,1
GAP,3
GARAGE,2
Koton,1
La vie En Rose,4
LASENZA,3
LIPSY,2
Mango,3
Monsoon/Accessorize,8
OKAIDI,3
PARFOIS,3
Pumpkin Patch,3
Quiz,2
Steve Madden,3
STRADIVARIUS,4
Tape A L'oeil,4
US POLO,2
WOMEN'SECRET,3
Ziddy,1
Country,Egypt
ADL, 3 
Aldo, 9 
Aldo Accessories, 6 
BLANCO, 4 
Clarks, 5 
FG4, 1 
GAP, 4 
Jennyfer, 4 
La vie En Rose, 6 
LE CHATEAU, 1 
Mango, 3 
Monsoon/Accessorize, 15 
Ninewest, 7 
Pumpkin Patch, 2 
Quiz, 6 
Sgt. Major, 4 
Spring, 3 
Steve Madden, 1 
Tape A L'oeil, 4 
Ziddy, 1 
Country,Kazakhstan
Aldo,3
Aldo Accessories,4
BLANCO,1
Charles & Keith,2
COLLEZIONE,2
Desigual,2
F&F,2
FG4,2
FLORMAR,1
GAP,3
Jennyfer,4
La vie En Rose,1
LASENZA,5
Marks & Spencer,2
Monsoon/Accessorize,6
New Look,1
Quiz,2
Sgt. Major,1
Spring,3
Tape A L'oeil,2
Topshop,2
Urban Outlet,1
Ziddy,1
Country,Armenia
Bershka,2
BLANCO,1
Charles & Keith,1
FLORMAR,2
GAP,1
GARAGE,1
Jennyfer,1
LaSenza,1
Marks & Spencer,1
Massimo Dutti,1
Miss Selfridge,1
Monsoon/Accessorize,3
New Look,2
Oysho,1
PrimaDonna,1
Pull & Bear,2
Sgt. Major,2
Steve Madden,1
STRADIVARIUS,2
Tape A L'oeil,2
Topshop,1
Wallis,1
Zara,2
Ziddy,1
Country,USA
Monsoon/Accessorize,29
CORTEFIEL,6
Jennyfer,7
LIPSY,6
New Yorker,1
Promod,7
Sgt. Major,3
Ziddy,4
BILLY BEEZ,2
Country,NESK
Blu, 3 
Clearance, 2 
Gelco, 2 
Gerry Weber, 13 
Ikks, 14 
Mango, 22 
MAYORAL, 4 
Okaidi, 44 
Origem, 5 
Springfield, 5 
Stradivarius, 38 
SFERA, 1 
Tiffosi, 5 
Women'Secret, 28 
Country,Morocco
ADL,1
Carolina Herrera ,1
Charles & Keith,2
Clarks,1
Collezione,1
FG4,1
FG4 Womens,1
Flormar,1
La Vie En Rose,1
Monsoon/Accessorize,4
New Yorker,2
Ninewest,1
PEDRO,1
Quiz,1
SALSA,1
Steve Madden,2
US Polo,1
Ziddy,1
Terranova,1
